qnt,c A_M_p,c A_M4_p,c A_M7_p,c A_m_p,c A_m6_p,c A_m7_p,c AbM_p,c B_M_p,c B_M7_p,c B_d_p,c B_m_p,c B_m7_p,c BbM_p,c Bbm_p,c C#M_p,c C#d_p,c C#d7_p,c C#m_p,c C_M_p,c C_M4_p,c C_M7_p,c C_m_p,c C_m6_p,c C_m7_p,c D_M_p,c D_M4_p,c D_M7_p,c D_m_p,c D_m6_p,c D_m7_p,c DbM_p,c E_M_p,c E_M4_p,c E_M7_p,c E_m_p,c E_m6_p,c E_m7_p,c EbM_p,c F#M_p,c F#M4_p,c F#M7_p,c F#d_p,c F#m_p,c F#m7_p,c F_M_p,c F_M4_p,c F_M7_p,c F_m_p,c G#d_p,c G_M_p,c G_M7_p,c G_m_p,c G_m7_p,c A_M_p_normalized,c A_M4_p_normalized,c A_M7_p_normalized,c A_m_p_normalized,c A_m6_p_normalized,c A_m7_p_normalized,c AbM_p_normalized,c B_M_p_normalized,c B_M7_p_normalized,c B_d_p_normalized,c B_m_p_normalized,c B_m7_p_normalized,c BbM_p_normalized,c Bbm_p_normalized,c C#M_p_normalized,c C#d_p_normalized,c C#d7_p_normalized,c C#m_p_normalized,c C_M_p_normalized,c C_M4_p_normalized,c C_M7_p_normalized,c C_m_p_normalized,c C_m6_p_normalized,c C_m7_p_normalized,c D_M_p_normalized,c D_M4_p_normalized,c D_M7_p_normalized,c D_m_p_normalized,c D_m6_p_normalized,c D_m7_p_normalized,c DbM_p_normalized,c E_M_p_normalized,c E_M4_p_normalized,c E_M7_p_normalized,c E_m_p_normalized,c E_m6_p_normalized,c E_m7_p_normalized,c EbM_p_normalized,c F#M_p_normalized,c F#M4_p_normalized,c F#M7_p_normalized,c F#d_p_normalized,c F#m_p_normalized,c F#m7_p_normalized,c F_M_p_normalized,c F_M4_p_normalized,c F_M7_p_normalized,c F_m_p_normalized,c G#d_p_normalized,c G_M_p_normalized,c G_M7_p_normalized,c G_m_p_normalized,c G_m7_p_normalized,c A_M_real,c A_M4_real,c A_M7_real,c A_m_real,c A_m6_real,c A_m7_real,c AbM_real,c B_M_real,c B_M7_real,c B_d_real,c B_m_real,c B_m7_real,c BbM_real,c Bbm_real,c C#M_real,c C#d_real,c C#d7_real,c C#m_real,c C_M_real,c C_M4_real,c C_M7_real,c C_m_real,c C_m6_real,c C_m7_real,c D_M_real,c D_M4_real,c D_M7_real,c D_m_real,c D_m6_real,c D_m7_real,c DbM_real,c E_M_real,c E_M4_real,c E_M7_real,c E_m_real,c E_m6_real,c E_m7_real,c EbM_real,c F#M_real,c F#M4_real,c F#M7_real,c F#d_real,c F#m_real,c F#m7_real,c F_M_real,c F_M4_real,c F_M7_real,c F_m_real,c G#d_real,c G_M_real,c G_M7_real,c G_m_real,c G_m7_real
HDy,0.98,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.98,0.99,1.0,1.0,1.0,0.98,0.99,0.99,0.98,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.96,0.98,1.0,0.99,1.0,1.0,1.0,0.98,0.98,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,0.99,0.92,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
ACC_syn,0.95,1.0,1.0,0.98,1.0,1.0,1.0,0.97,0.98,1.0,0.97,1.0,0.91,0.98,0.99,1.0,0.99,0.97,1.0,1.0,1.0,0.97,1.0,0.99,0.96,1.0,1.0,0.98,0.99,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.99,1.0,0.99,1.0,0.95,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
PACC_syn,0.94,1.0,0.98,0.97,1.0,1.0,1.0,0.97,0.98,1.0,0.97,0.99,0.92,0.99,0.99,1.0,0.98,0.97,0.99,1.0,0.98,0.95,1.0,0.99,0.95,0.99,1.0,0.96,0.99,0.99,1.0,0.96,0.97,1.0,0.93,1.0,1.0,0.97,0.99,0.99,0.99,0.99,0.97,1.0,0.97,1.0,0.99,0.99,1.0,0.98,1.0,0.93,0.98,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
X_syn,0.73,0.98,0.85,0.83,0.96,0.94,0.99,0.9,0.92,0.93,0.85,0.94,0.73,0.98,0.94,0.99,0.88,0.91,0.84,0.98,0.8,0.9,0.97,0.91,0.73,0.93,0.91,0.86,0.96,0.93,0.98,0.78,0.91,0.95,0.7,0.93,0.94,0.73,0.95,0.97,0.9,0.95,0.8,0.94,0.67,1.0,0.92,0.92,1.0,0.79,0.92,0.71,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
MAX_syn,0.73,0.98,0.85,0.83,0.96,0.94,0.99,0.9,0.92,0.93,0.85,0.94,0.73,0.98,0.94,0.99,0.88,0.91,0.84,0.98,0.8,0.9,0.97,0.91,0.73,0.93,0.91,0.86,0.96,0.93,0.98,0.78,0.91,0.95,0.7,0.93,0.94,0.73,0.95,0.97,0.9,0.95,0.8,0.94,0.67,1.0,0.92,0.92,1.0,0.79,0.92,0.71,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
T50_syn,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
MS_syn,0.95,1.0,1.0,0.98,1.0,1.0,1.0,0.97,0.98,1.0,0.97,1.0,0.91,0.98,0.99,1.0,0.99,0.97,1.0,1.0,1.0,0.95,1.0,0.99,0.96,1.0,1.0,0.98,0.99,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.99,1.0,0.99,1.0,0.95,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
MS2_syn,0.95,1.0,1.0,0.98,1.0,1.0,1.0,0.97,0.98,1.0,0.97,1.0,0.91,0.98,0.99,1.0,0.99,0.97,1.0,1.0,1.0,0.96,1.0,0.99,0.96,1.0,1.0,0.98,0.99,0.99,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.98,1.0,0.98,1.0,1.0,0.99,1.0,0.99,1.0,0.95,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
SMM_syn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
HDy_syn,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.92,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.03,0.02,0.0,0.03,0.0,0.0,0.0,0.01,0.01,0.04,0.06,0.01,0.02,0.0,0.05,0.01,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.07,0.0,0.07,0.01,0.0,0.02,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.25
CC,0.96,1.0,1.0,0.91,1.0,1.0,1.0,0.99,1.0,1.0,0.94,1.0,0.92,0.98,0.92,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.99,0.99,0.99,0.96,1.0,1.0,0.99,1.0,1.0,0.99,0.99,0.97,1.0,1.0,0.98,1.0,0.93,1.0,1.0,0.98,1.0,0.97,0.99,0.9,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
PCC,0.96,1.0,0.99,0.92,0.99,1.0,1.0,0.99,1.0,1.0,0.93,0.99,0.92,0.98,0.93,1.0,0.99,1.0,0.98,1.0,0.98,1.0,1.0,1.0,0.97,1.0,0.99,0.98,0.99,0.99,0.99,0.96,1.0,1.0,0.98,1.0,1.0,0.99,0.99,0.98,0.99,0.99,0.96,0.99,0.94,0.99,0.99,0.98,1.0,0.96,0.99,0.92,0.98,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
ACC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
PACC,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
MAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
MS,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
MS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.06,0.01,0.0,0.03,0.0,0.0,0.09,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.05,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.03,0.01,0.03,0.01,0.03,0.04,0.03,0.0,0.01,0.02,0.01,0.22
